Latitude,Longitude,Landuse forest cover in 1990,Landuse shrubland in 1990,Landuse grassland in 1990,Landuse agriculture in 1990,Landuse bareland in 1990,Landuse settlements in 1990,Landuse waterbodies in 1990,Landuse snow and gacier lakes in 1990, Landuse forest cover in 2000,Landuse shrubland in 2000,Landuse grassland in 2000, Landuse agriculture in 2000,Landuse bareland in 2000,Landuse settlements in 2000,Landuse waterbodies in 2000,Landuse snow and gacier lakes in 2000,Landuse forest cover in 2010,Landuse shrubland in 2010,Landuse grassland in 2010,Landuse agriculture in 2010,Landuse bareland in 2010,Landuse settlements in 2010 ,Landuse waterbodies in 2010, Landuse snow and gacier lakes in 2010,Slope 0-5 degrees,Slope 5-10 degrees,Slope 10-15 degrees,SLope 15-20 degrees,SLope 20-25 degrees,Slope 25-30 degrees,Slope 30-40 degrees,Slope 40-50 degrees,Slope 50-60 degrees,Slope over 60 degree,Glaciated mountain," Haplumbrepts, Dystrochrepts, Cyrumbrepts soils","Dystrochrepts, Haplumbrepts, Haplustalfs","Dystrochrepts, Haplustalfs, Rhodustaifs","Udipsamments, Dystrochrepts, Rhodustalfs","Udipsamments, Dystrochrepts, Rhodustalfs","Udorthents, Haplustalfs, Rhodustralfs "," Haplaquents, Haplaqepts, Eutrocrepts","Haplaquents, Psammaquents, Ustorthents","Rhodustalfs, Dystrochrepts, Haplustailfs",Distance to river 1-99 meters,Distance from river 100-199 meters,Distance from river 200-299 meters,Distance from river 300-399 meters,Distance from river 400-499 meters,Distance from river 500-599 meters, Distance from river 600-699 meters,Distance from river 700-799 meters,Distance from river 800-899 meters,Distance from river over 900 meters,Distance from major roads 0 meters,Distance from major roads 0-50 meters,Distance from major roads 50-75 meters,Distance from major roads  above 75meters,Distance from minor roads 0 meters,Distance from minor roads 0 -25 meters,Distance from minor roads 25-50 meters, Distance from minor roads over 75 meters,Flat Area,Facing North Facing In,Northeast facing in Province 1,East facing ,Southeast facing ,South facing,Southwest facing, West facing,Northwest facing,North facing,ppt500 mm-1000mm, ppt1000mm-3000mm,ppt2000mm - 3000mm,Over 3000 mm,RainFall Erosibity Factor for(500-1000mm),RainFall Erosibity Factor for (1000-3000mm),RainFall Erosibity Factor for (2000-3000mm),RainFall Erosibity Factor for over 3000)
27.191023,87.481396,986400,0,0,0,0,0,0,0,982800,0,0,0,0,0,6300,0,995400,0,0,0,0,0,0,0,0,0,1040400,0,0,0,0,0,0,0,0,0,0,0,107100,197100,88200,82800,114300,99000,106200,108900,109800,106200,109800,102600,73800,48600,900,15300,39600,62100,99000,141300,325800,277200,43200,5400,0,1040400,0,0,0,0,0,12600,225000,272700,344700,136800,18000,0,188924.2879,74941.6576,9808.726,-59.9
27.112515,87.024493,108000,0,0,884700,0,0,0,0,100800,0,0,888300,0,0,0,0,119700,0,28800,845100,0,0,0,0,0,0,0,1009800,0,0,0,0,0,0,0,0,0,0,153900,276300,162900,134100,0,5400,27900,45000,72900,81900,110700,117000,116100,115200,20700,65700,156600,265500,213300,172800,82800,2700,0,0,0,1009800,0,0,0,900,43200,117000,178200,291600,318600,29700,900,0,174614.7802,16223.3329,433.5313,-59.9
26.546655,87.98439,0,0,0,925200,65700,0,0,0,0,0,0,990000,0,0,0,0,0,0,0,991800,0,0,0,0,0,0,0,0,0,0,0,1040400,0,0,0,0,0,0,139500,248400,162000,111600,118800,108000,108900,107100,110700,102600,105300,108000,72900,37800,114300,228600,214200,179100,135900,80100,51300,6300,0,0,0,1009800,0,0,0,81000,222300,120600,75600,140400,195300,86400,54000,34200,107014.6921,47309.5048,29545.978,18690.4894
26.782078,87.948744,931500,0,0,55800,0,0,0,0,940500,0,0,50400,0,0,0,0,886500,0,0,108000,0,0,0,0,0,0,0,0,980100,0,0,0,0,0,0,0,0,0,170100,276300,149400,117000,0,0,0,0,0,0,9900,42300,62100,93600,15300,78300,128700,202500,202500,124200,180000,47700,900,0,0,1009800,0,0,0,33300,52200,137700,413100,282600,23400,3600,8100,26100,12769.3138,1913.8252,4380.9817,14249.6077
26.58003,88.0364,0,0,0,889200,99000,0,0,0,0,0,0,958500,27900,0,0,0,0,0,0,962100,31500,0,0,0,0,0,0,0,0,0,0,980100,0,0,0,0,0,0,146700,250200,142200,109800,328500,218700,232200,180900,34200,0,0,0,0,0,676800,340200,21600,1800,0,0,0,0,0,0,0,0,1009800,0,1800,78300,117900,105300,138600,147600,154800,112500,126900,56700,84810.2836,61619.0125,69513.9133,31026.2719
26.948334,88.03919,703800,0,0,284400,0,0,0,0,696600,0,0,291600,0,0,0,0,672300,0,0,320400,0,0,0,0,0,0,0,1040400,0,0,0,0,0,0,0,0,0,0,99900,192600,110700,96300,10800,30600,54000,68400,99000,112500,117900,138600,112500,96300,817200,172800,19800,0,0,0,0,0,0,0,0,1009800,0,0,3600,68400,126900,118800,147600,129600,93600,112500,147600,61200,51256.9552,61619.0125,80862.8332,33493.4284
27.731407,87.836568,0,552600,204300,0,43200,0,0,189900,99900,576000,286200,0,27900,0,0,0,114300,574200,260100,0,0,0,0,45900,0,980100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,14400,57600,89100,102600,106200,103500,106200,2700,5400,11700,32400,63000,79200,266400,328500,176400,44100,0,0,980100,0,0,95400,369000,180000,108000,110700,74700,29700,11700,30600,40894.8979,16223.3329,6354.7069,16716.7642
26.785581,88.059109,559800,0,0,425700,0,0,0,0,576900,0,0,410400,0,0,0,0,583200,0,0,409500,0,0,0,0,0,0,0,384300,656100,0,0,0,0,0,0,0,0,0,237600,364500,168300,100800,41400,61200,118800,175500,256500,204300,122400,15300,0,0,16200,102600,250200,312300,189900,88200,20700,0,0,0,0,0,1009800,0,0,10800,46800,196200,161100,27000,38700,311400,171000,17100,21157.6459,170667.3298,93692.047,9315.2947
27.232924,86.728966,979200,0,0,13500,0,0,0,0,922500,0,0,71100,0,0,0,0,929700,0,0,67500,0,0,0,0,0,0,1009800,0,0,0,0,0,0,0,0,0,0,0,53100,99900,54900,48600,0,0,45000,112500,97200,96300,108900,96300,94500,110700,659700,308700,36000,4500,900,0,0,0,0,0,0,0,980100,0,900,69300,132300,115200,121500,147600,131400,132300,106200,53100,71981.0698,72474.5011,58164.9934,29052.5467
27.064998,87.484148,274500,0,0,711900,0,0,0,0,282600,0,0,707400,0,0,0,0,278100,0,27900,686700,0,0,0,0,0,0,118800,861300,0,0,0,0,0,0,0,0,0,0,165600,268200,169200,143100,0,0,0,0,0,0,0,0,19800,46800,20700,105300,215100,219600,198000,155700,95400,0,0,0,0,0,1009800,0,0,104400,473400,258300,103500,28800,1800,900,11700,27000,926.9626,433.5313,6354.7069,14743.039
27.023391,87.792979,183600,0,743400,63000,0,0,0,0,170100,0,759600,58500,0,0,0,0,164700,19800,735300,69300,0,0,0,0,0,0,980100,0,0,0,0,0,0,0,0,0,0,0,201600,329400,153900,99900,0,0,0,7200,28800,44100,63900,94500,107100,118800,3600,7200,25200,37800,72900,118800,352800,330300,87300,4500,0,0,980100,0,0,53100,128700,157500,487800,208800,3600,0,0,900,1913.8252,-59.9,-59.9,433.5313
26.507369,88.051922,554400,0,0,189000,217800,0,27000,0,147600,0,0,642600,117000,0,80100,0,124200,0,0,791100,900,0,79200,0,0,0,0,0,0,0,0,980100,0,0,0,0,0,0,181800,288000,171900,117000,132300,119700,123300,113400,136800,121500,99000,76500,45000,23400,7200,53100,136800,255600,289800,153000,64800,18000,1800,0,0,1009800,0,0,0,0,214200,281700,287100,189900,5400,900,0,900,2900.6878,433.5313,-59.9,433.5313
26.752889,87.225813,987300,0,0,0,0,0,0,0,990000,0,0,0,0,0,0,0,991800,0,0,0,0,0,0,0,0,0,0,0,0,0,980100,0,0,0,0,0,0,0,63000,123300,79200,56700,0,0,0,0,0,59400,107100,97200,96300,108900,1800,8100,19800,81900,99900,126000,371700,198000,63000,9900,0,1009800,0,0,0,8100,108000,477000,295200,85500,5400,0,0,900,2900.6878,-59.9,-59.9,433.5313
26.949142,86.845051,990000,0,0,0,0,0,0,0,987300,0,0,0,0,0,0,0,963000,0,10800,23400,0,0,0,0,0,0,1009800,0,0,0,0,0,0,0,0,0,0,0,124200,225900,162900,153900,5400,27900,45900,55800,86400,99000,106200,143100,130500,112500,2700,4500,22500,62100,135900,183600,334800,166500,63000,4500,0,0,1009800,0,0,18000,202500,384300,243000,124200,5400,0,0,2700,2900.6878,-59.9,-59.9,1420.3939
